HUC,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
COCONINO PLATEAU,270.79,257.63,250.75,260.49,523.14,473.18,534.05,414.89,435.92,287.91,418.06,307.55,293.38,367.7,376.52,432.44,288.26,375.84,416.35,357.94,409.52,336.13,383.67,277.7,375.48,337.55,482.69,243.2,289.94,356.08,382.1,319.32,298.9,255.72,353.57,397.22,365.59,354.46,371.53,465.76,530.74,224.38,339.23,281.51,322.19,376.9,260.95,258.82,385.62,196.1,354.03,401.95,234.73,318.06,288.32,170.47,449.67,388.44,300.1,306.4,317.2,265.45,298.42,279.65,515.85,309.71,362.71,272.66,408.16,327.73,315.06,377.7,304.85,276.46,295.85,295.51,275.96,533.95,334.75,448.45,419.38,474.61,480.96,342.06,382.94,391.8,423.32,342.34,215.35,422.42,366.53,484.79,451.23,314.9,364.56,251.77,390.66,456.64,329.85,311.14,288.52,203.58,300.18,433,393.39,284.78,286.24,328.56,209.99,409.1,283.64,288.4,345.05,254.33,444.42,388,292.87,316.32,393.98,149.73,320.55,311.58
HUALAPAI VALLEY,199.63,178.3,161.37,200.94,405.17,345.11,285.14,322.26,339.76,219.22,247.31,219.37,173.1,260.53,291.12,282.91,200.99,302.92,316.95,288.45,296.28,270.15,240.81,150.03,257.32,227.66,313.74,131.86,175.83,243.45,329.68,245.3,166.6,177.1,239.56,281.36,228.52,247.32,305.54,346.09,411.31,136.4,242.33,203.43,207.95,243.08,126.54,174.91,252.9,120.73,291.75,285.35,142.23,218,226.77,79.71,287.81,274.23,224.71,197.56,178.8,175.64,199.78,152.39,392.34,195.85,259.17,159.3,281.7,212.79,209.73,252.9,230.64,183.27,171.27,259.49,185.48,445.68,253.05,293.58,238.34,300.36,360.34,266.8,213.24,256.93,277.57,245.27,112.28,314.35,276.71,366.84,345.14,207.37,190.98,117.03,208.87,310.25,178.14,169.81,197.63,90.08,214.31,340.36,300.19,162.38,160.39,179.86,122.31,301.77,182.93,193.42,192.33,207.64,218.09,287.93,198.86,194.78,282.58,104.74,171.92,187.9
MEADVIEW,214.23,195.21,177.62,219.57,333.99,369.31,296.2,290.37,339.93,217.16,268.45,232.05,203.61,268.62,269.09,309.34,203.82,291.48,239.96,272.19,278.27,252.85,241.38,170.48,257.6,221.83,316.04,152.43,188.09,243.87,263.22,246.83,169.6,168.19,227.1,285.57,227.87,268.18,254.38,300.55,404.3,135.05,251.67,182.65,239.58,261.44,169.46,178.76,259.96,116.23,274.12,292.86,99.82,236.68,252.67,98.23,294.05,268.08,197.83,197.7,198.66,167.3,199.36,139.5,408.4,222.35,240.18,163.77,285.8,221.23,212.99,250.42,232.81,190.95,204.02,233.66,181.03,460.22,240.55,307.1,238.09,294.13,370.77,218.9,206.23,278.02,308.68,258.94,131.39,323.22,292.12,354.59,343.64,238.21,223.17,143.05,201.48,350.77,174.05,166.22,227.1,90.22,230.03,375.99,278.47,140.45,177.75,186.35,127.97,302.44,178.06,199.87,164.4,176.54,236.99,299.59,182.28,206.72,294.3,80.84,162.11,156.58
DETRITAL VALLEY,179.36,147.66,132.15,180.97,343.99,297.13,228.05,262.49,284.48,180.44,212.21,176.8,145.86,220.41,245.61,238.26,167.56,257.28,248.61,242.57,232.95,226.57,186.44,116.47,217.05,192.41,255.73,102.33,133.46,199.36,278.64,202.09,128.99,142.21,193.11,228.22,185.22,205.1,251.26,269.07,352.51,97.98,209.13,164.76,178.65,198.7,105.56,124.91,201.55,85.95,222.1,230.04,98.11,177.98,171.59,57.06,233.58,214.71,179.56,160.14,129.14,124.9,147.04,92.17,317.19,144.15,194.01,112.23,207.56,162.7,150.5,173.2,176,153.69,140.96,222.06,158.26,368.1,207.2,256.53,178.51,248.72,293.07,261.19,144.29,176.02,217.26,164.33,75.13,199.91,208.44,329.47,271.77,129.65,159.38,99.9,159.96,264.14,142.73,113.07,160.82,57.77,179.79,302.01,271.49,112.65,107.85,122.74,85.54,261.51,149.65,155.25,148.21,133.27,152.81,218.08,148.51,155.7,238.32,88.12,129.41,130.03
LAKE MOHAVE,155.76,129.98,107.64,168.34,360.59,265.62,214.8,259.05,276.16,188.25,191.87,158.46,109.19,198.86,236.11,227.34,150.73,262.26,287.93,255.73,249.55,228.82,179.67,90.59,197.79,194.28,249.54,78.81,111.66,176.39,323.92,180.44,123.59,149.9,205.15,205.42,186.78,192.12,286.62,270.39,360.34,88.66,201.45,173.48,164.24,187.45,87.16,108.27,173.95,62.09,216.65,210.76,78.79,154.9,135.7,31.65,201.08,193.01,180.32,135.65,100.52,94.56,137.42,70.38,294.79,114.08,152.48,91.5,159.2,124.31,119.61,133.94,151.42,141.64,99.14,217.36,134.94,330.29,196.56,233.95,157.13,224.33,273.8,236.1,123.21,171,168.79,161.65,61.86,159.81,194.3,309.08,263.62,122.89,146.34,72.82,146.51,240.77,107.58,88.08,132.73,40.07,163.46,249.62,251.32,90.32,92.58,137.51,76.56,237.85,127.31,148.12,133.93,115.23,137.38,168.72,111.83,115.09,220.55,81.67,86.12,114.63
PEACH SPRINGS,253.92,238.29,219.89,252.84,471.6,423.95,381.1,371.55,411.41,271.54,328.99,263.88,251.35,329.32,345.73,380.46,253.63,337.04,365.34,323.24,399.9,304.17,304.49,220.32,328.77,282.9,413.81,189.54,230.01,323.69,367.16,298.14,238.12,225.09,292.01,359.8,294.66,315.43,369.22,426.04,482.14,191.93,306.06,238.85,281.93,312.09,196.69,220.12,332.47,173.48,358.89,359.96,213.78,276.95,293.06,131.11,379.24,366.47,283.24,262.28,259.71,241.2,270.89,248.69,475.06,282.5,356.83,249,401.68,297.71,306.91,334.5,285.88,248.56,248.94,299.25,241.77,526.28,312.74,380.69,355.2,392.08,439.66,307.16,295.72,371.05,382.79,341.11,197.01,476.33,379.12,395.55,431.19,321.36,272.37,189.59,273.62,393.54,243.84,254.41,258.76,148.62,268.35,394.1,382.14,232.16,254.03,272.35,181.11,384.5,248.31,262.76,262.2,262.13,320.86,349.59,254.04,243.17,373.12,115.97,227.73,254.92
VERDE RIVER,363.26,346.72,300.62,315.79,985.7,582.54,568.09,591.05,508.74,358.13,577.15,465.5,432.27,520.44,596.81,601.41,483.65,515.47,677.32,500.21,525.1,517.62,550.97,349.89,448.74,482.18,633.25,328.13,354.46,534.07,638.51,451.48,391.69,349.38,502.43,511.79,452.96,461.84,419.62,632.93,715.41,305.65,428.8,462.44,412.08,462.99,323.27,332.01,520.77,264.9,561.87,556.99,302.45,460.38,461.17,216.23,599.16,539.48,513.6,385,411.87,374.41,428.69,407.14,825.38,395.93,531.13,379.93,507.01,479.05,424.1,541.24,430.58,389.67,386.86,469.44,394.8,802.34,457.9,618.15,489.71,677.6,731.27,505.73,538.2,540.92,548.19,462.64,302.02,553.12,554.33,722.34,698.9,438.14,490.25,331.7,496.8,591.47,417.9,438.06,407.56,254.43,427.78,535.53,546.48,332.83,385.1,492.64,282.38,604.09,377.7,380.75,476.62,392.89,503.38,475.69,393.61,414.85,576.43,238.33,495.17,413.03
BIG SANDY,266.71,232.62,219.3,239.7,637.78,428.14,381.62,428,409.83,278.83,359.56,300.12,258.69,352.92,399.45,404.02,300.07,379.71,506.61,379.62,427.44,346.72,341.84,238.54,351.89,340.85,475.81,200.22,233.36,357.46,487.53,323.11,256.93,272.69,343.11,363.39,336.03,325.06,409.88,484.22,539.74,199.45,310.67,311.08,283.76,328.62,196.13,236.33,325.26,180.3,411.83,416.43,231.45,318.63,327.74,124.79,394.23,398.8,346.57,293.46,259.31,266.28,309.78,282.76,546.54,266.21,382.97,252.96,399.89,323.85,302.75,385.57,304.24,274.53,233.46,367,258.99,579.21,341.79,414.06,350.52,421.08,503.07,361.89,358.29,396.6,398.74,355.49,214.71,441.43,395.43,487.67,517.36,280.87,279.64,193.68,313.32,448.63,267.98,287.69,307.48,141.72,308.16,441.6,423.86,277.08,228.02,308.7,189.71,377.58,278.11,285.62,296.36,338.33,323.02,370.16,271.68,247.63,419.62,143.52,296.17,296.33
SACRAMENTO VALLEY,169.66,161.34,129.95,189.85,495.94,303.63,276.99,351.68,332.18,225.95,262.3,220.82,141.31,260.51,324.74,301.39,205.91,321.76,451.38,326.5,323.25,286.8,245.95,133.29,245.43,268.57,348.97,108.45,151.24,243.1,441.98,243.1,181.05,201.51,277.51,259.96,258.33,235.71,346.48,351.06,440.47,129.67,240.36,256.77,199.82,250.13,116.57,166.63,219.25,107.05,317.62,282.98,143.75,223.28,195.46,47.75,270.17,271.84,255.69,180.66,159.74,163.78,217.55,150.4,390.78,162.74,235.05,152.67,232.12,189.84,191.02,216.22,214.31,191.03,135.47,281.79,177.39,445.46,254.14,294.18,216.93,307.32,356.05,289.86,224.99,271.81,223.83,236.68,103.15,260.29,247,397.68,367.44,169.11,186.39,93.3,225.52,337.6,169.71,138.37,183.78,78.49,224.76,353.64,319.27,154.83,116.45,199.05,114.08,278.97,180.27,198.13,197.41,216.25,201.89,264.9,170.06,156.38,268.99,107.59,160.79,192.84
JOSEPH CITY INA,180.56,159.73,165.3,160.86,410.66,274.91,315.36,305.59,261.49,194.82,328.29,200.36,192.6,319.64,290.36,299.76,177.34,218.93,333.65,235.57,258.41,160.77,347.51,173.51,288.73,274.64,315.25,182.88,249.21,216.64,309.31,188.84,259.56,188.46,259.99,267.76,210,178.62,192.65,316.05,365.03,166.21,181.67,184.63,177.08,221.98,232.54,205.65,242.08,101.33,188.88,286.25,163.29,246.3,191.62,132.59,280.83,210.14,237.19,169.59,198.19,174.95,203.65,235.38,266.05,180.81,264.78,197.77,244.76,178.83,218.35,250.59,204.05,206.48,228.6,188.29,243.27,287.47,204.48,232.99,221.24,284.42,232.06,357.89,257.9,250.33,285.98,225.76,164.57,216.22,191.92,377.51,262.93,233.93,182.01,160.3,245.78,230.3,224.92,197.61,177.32,145.36,109.84,215.65,175.48,161.09,221.4,157.32,98.1,272.78,189.57,100.88,204.02,187.18,286.46,192.09,131.79,176.48,227.5,124.96,165.53,244.87
