HUC,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
BILL WILLIAMS,218.19,246.77,208.51,235.99,741.78,429.88,347.74,401.88,366.45,266.18,416.96,378.69,289.09,382.39,428.03,447.98,321.27,413.51,524.53,383.53,396,361.37,415.23,205.13,311.94,395.55,485.45,197.47,225.22,384.63,543.69,337.75,280.92,257.44,404.56,360.41,331.59,315.55,345.82,390.76,553.32,190.01,297.85,341.08,299.74,339.27,204.61,229.45,325.21,176.88,471.87,411.66,205.44,333.68,335.34,109.72,395.59,372.72,372.08,245.51,248.11,264.59,348.06,259.86,595.9,259.78,374.27,257.44,362.8,356.35,282.38,354.95,279.03,300.22,219.19,355.78,256.5,617.23,328.37,446.98,342.4,484.25,531.33,403.3,360.43,367.14,378.52,340.55,219.35,363.17,380.01,540.83,530.4,291.74,344.83,178.54,349.44,446.58,267.78,331.45,302.48,110.84,334.04,449.21,384.05,217,216.02,353.24,171.94,381.76,226.8,248.47,293.97,299.03,334.78,351.37,286.91,238.87,458.33,170.13,321.99,320.99
PRESCOTT AMA,303.44,329.46,341.44,338.67,960.34,537.21,430.83,561.24,465.7,325.09,564.64,512.43,363.22,446.04,509.99,522.28,403.27,469.67,644.97,453.79,488.9,471.75,519.36,313.62,441,484.81,638.95,274.42,317.95,515.04,620.94,442.92,378.38,353.14,487.31,445.03,413.92,437.34,364.24,541.11,628.27,230.33,356.04,368.14,337.91,455.54,277.76,305.62,389.82,274.45,509.23,479.32,325.65,433.22,414.89,177.24,489.9,492.03,437.51,339.29,364.29,322.05,405.57,340.31,740.03,353.47,488.36,310.97,485.27,477.79,388.86,529.19,378.46,372.26,291.69,410.41,354.72,643.1,340.91,516.99,432.43,598.28,664.61,525.28,445.35,474.96,510.33,381.3,259.07,471.22,512.45,593.14,558.61,395,412.62,284.53,429.69,540.98,399.77,396.08,337.6,201.25,377.53,440.6,450.21,284.56,311.08,410.9,257.14,482.68,320.03,340.38,393.33,451.54,437.54,491.66,390.35,432.34,524.39,247.39,509.43,426.74
LAKE HAVASU,126.17,130.41,90.69,150.03,415.63,252.81,209.98,264.92,263.33,196.99,210.27,182.8,132.17,224.74,259.71,273.05,175.41,289.98,348.8,277.46,300.06,236.99,220.04,102.45,185.35,249.36,286.77,89.03,120.85,193.24,384.01,196.2,152.71,152.56,223.73,188.11,205.33,210.81,287.74,256.44,358.27,90.91,189.15,203.61,179.3,211.13,101.47,127.42,157.28,68.21,263.75,226.79,89.12,173.43,155.52,30.8,211.24,204.55,209.82,139.42,111.29,123.35,168.62,93.86,313.49,129.07,163.98,103.78,170.42,128.74,121.23,174.42,157.35,158.1,85.14,214.5,127.84,361.6,204.18,260.75,168.39,248.91,289.57,214.6,169.42,217.93,158.87,175.61,75.67,162.46,192.72,338.58,299.48,134.16,165.06,63.4,174.52,262.42,103.19,99.03,141.9,55.37,192.35,275.35,283.02,92.74,88.23,165.83,91.19,200.64,141.44,176.95,156.49,150.92,143.25,182.27,118.94,98.86,221.39,97.65,74.46,136.26
AGUA FRIA,295.48,338.76,277.46,298.34,999.42,597.63,458.73,565.14,490.69,332.91,568.83,505.47,422.62,555.95,595.95,639.01,429.93,523.73,658.28,460.29,509.23,489.29,574.46,318.81,446.35,497.04,658.31,286.74,316.66,509.39,664.94,473.42,372.74,319.45,486.75,471.39,376.7,405.33,384.16,574.75,721.59,288.94,410.12,473.25,378.83,456.14,298.64,349.02,458.95,242.02,604.93,523.7,268.44,429.92,450.79,189.08,553.81,521.24,560.6,319.15,349.4,324.27,476.62,377.25,874.34,386.54,571.85,363.9,465.87,472.34,354.26,476.84,384.45,413.87,308.42,477.18,359.12,842.78,420.81,611.22,434.58,691.2,680.25,533.09,485.87,457.92,506.74,414.29,288.24,464.39,551.23,729.39,719.7,427.36,494.61,267.31,461.75,543.03,376.32,435.95,354.49,209.12,458.95,519.29,496.73,261.13,326.42,435.81,266.25,561.25,286.32,335.19,403.27,390.92,410.05,428.65,380.25,413.4,620.96,236.52,429.67,360.74
UPPER HASSAYAMPA,241.49,276.48,241.88,263.79,833.96,554.84,382.01,455.01,441.42,287.06,465.36,459.55,356.37,490.85,528.87,576.14,377.41,487.88,577.71,422.61,461.04,432.94,551.13,245.69,382.66,491.19,593.68,253.35,280.03,489.73,600.5,431.23,336.29,294.86,507.87,418.54,346.2,368.69,367.74,445.17,637.41,244.45,376.47,406.73,357.47,394.76,238.67,266.62,437.25,213.31,573.96,497.41,258.16,412.33,408.22,147.25,462.04,479.78,456.08,260.92,303.22,295.27,433.47,317.56,774.3,321.57,463.11,327.41,412.9,448.61,339.08,399.11,342.97,412.12,269.55,415.46,319.98,746.19,365.25,513.18,423.84,575.14,600.56,475.67,421.21,407.68,464.58,366.91,269.06,412.67,470.7,628.77,591.29,348.92,442.71,237.04,416.14,502.09,352.13,407.32,304.21,163.97,403.09,476.52,440.55,237.49,285.12,393.29,202.44,473.47,235.53,293.94,340.87,390.34,413.63,401.38,357.8,334.87,537.62,232.12,381.54,379.25
TONTO CREEK,388.72,426.88,311.23,341.83,1270.6,683.24,610.86,676.64,572.11,392.88,663.99,581.02,569.67,706.56,747.35,782.62,571.76,670.03,777.86,623.35,605.13,636.87,706.56,410.56,559.84,660.85,746.75,421.55,481.2,659,904.02,547.08,462.62,434.39,652.89,602.05,539.04,540.47,491.07,742.77,850.54,430.94,537.05,603.3,492.17,604.31,438.04,394.27,589.4,323.78,722.8,718.9,347.89,552.18,560.8,289.59,733.69,633.17,648.47,437.42,490.45,469.11,554.79,449.32,936.37,451.23,637.17,500.34,569.35,517.14,490.23,621.78,534.91,491.16,490.64,561.24,499.22,1034.15,581.94,808.53,579.93,836.84,882.32,638.82,680.97,582.47,567.6,569.84,411.82,561.79,664.89,922.67,923.5,601.46,570.88,436.71,554.51,634.86,464.4,511.26,511.88,265.68,526.98,561.5,586.69,360.07,502.24,681.3,348.31,761.9,437.05,378.89,576.83,448.41,608.79,505.6,461.37,444.07,680.42,286.88,589.63,469.61
SALT RIVER,473.46,465.65,350.98,369.23,1144.19,662.45,578.52,598.01,513.98,383.11,644.95,539.97,460.54,643.18,686.97,769.81,459.08,615.42,732.13,564.96,528.94,560.87,658.72,415.57,506.34,606.83,639.7,445.01,491.64,616.12,815.25,553.58,496.33,448.55,630.67,605,513.21,530.65,444.27,697.57,881.33,436.75,512.77,558.51,446.24,551.25,433.67,387.9,544.04,297.11,636.13,660.13,341.79,542.87,500.99,307.4,649.32,623.56,606.93,418.72,501.41,469.99,524.9,474.23,816.2,436.96,633.68,495.85,523.17,458.77,525.47,599.52,522.93,502.94,502.16,504.93,493.32,957.79,589.08,714.8,510.02,752.81,825.45,676.55,637.71,637.72,571.35,585.53,380.43,624.49,653.69,833.09,752.18,648.44,516.4,454.43,535.99,567.8,443.16,516.05,506.63,345.72,499.08,503.97,560.69,448.14,528.34,664.79,345.54,658.35,430.72,389.56,525.42,465.33,600.49,486.17,386.57,434.98,638.67,289.85,525.29,524.73
PARKER,95.14,92.73,70.24,93.48,318.17,171.64,132.99,177.76,196.46,120.46,139.26,148.84,131.48,183.35,173.89,162.22,146.66,186.66,177.85,182.63,191.13,134.63,164.38,47.79,140.75,210.08,162.33,45.1,75.28,125.07,227.08,152.36,90.15,94.98,175.08,126.51,130.25,136.59,234.84,162.63,292.88,66.92,144.9,140.27,128.23,134.01,59.37,85.3,117,47.26,209.95,153.4,43.03,92.32,134.52,19.77,129.42,150.36,150.89,91.52,77.78,88.03,127.59,70.19,206.83,126.41,144.43,76.98,132.8,113.47,98.19,112.59,97.89,92.12,70.78,202.77,115.06,245.68,159.27,173.83,92.63,176.78,220.26,174.2,130.68,146.3,106.58,163.24,53.57,107.18,109.5,249.42,189.51,120.54,104.56,67.78,153.59,168.48,83.59,55.23,107.14,35.35,117.96,203.28,207.35,84.72,73.96,144.74,69.09,159.95,117.1,112.25,155.18,137.19,144.88,133.88,106.85,84.67,154.68,93.18,91.35,99.33
BUTLER VALLEY,165.15,152.83,127.56,164.67,470.48,255.37,235.96,284.53,261.9,171.66,241.89,216.86,200.23,280.28,293.86,267.11,231.7,283.44,315.43,251.64,240.53,205.78,310.23,101.46,201.48,309.74,262.47,121.45,142.51,249.07,360.67,235.83,182.3,154.24,314.88,223.37,208.58,189.8,268.86,231.26,430.24,144.51,210.81,235.59,177.31,227.61,126.57,139.55,185.48,111.44,354.53,268.83,116.86,165.5,228.41,68.71,230.07,216.19,246.31,128.24,125.07,156.76,203.83,150.15,357.95,175.17,253.51,156.95,215.56,222.31,152.1,196.31,153.2,185.36,122.69,238.36,127.03,377.14,213.27,249.99,195.14,326.54,366.68,251.33,204.02,228.82,199,259.73,142.05,211.98,180.01,356.21,318.4,176.51,206.8,81.18,210.54,292.05,193.6,188.84,170.11,57.12,251.26,317.67,272.57,99.48,152.33,211.75,86.76,220.62,146.42,144.95,199.31,191.51,195.52,198.51,174.31,135.61,270.16,106.66,180.85,188.6
MCMULLEN VALLEY,177.83,162.24,138.03,173.6,504.07,276.39,254.58,284.77,282.54,180.57,253.94,228.65,206.76,296.03,296.52,297.95,230.18,296.05,340.51,272.28,250.51,218,335.54,118.32,228.45,319.17,291.01,130.16,150.06,266.91,394.75,254.75,202.89,159.35,366.72,240.4,248.06,215.28,270.42,248.66,462.25,151.74,225.73,246.33,201.11,236.08,130.3,154.33,212.45,116.17,348.91,296.83,121.97,180.65,234.09,75.48,257.31,225.55,255.98,135.84,133.46,173.28,207.13,153.11,390.05,188.83,275.86,163.03,223.52,246.6,157.44,224.29,175.73,202.93,138.7,233.89,148.2,409.76,230.21,270.34,235.83,342.1,403.69,250.42,230.42,234.89,224.94,269,181.99,236,203.75,365.07,360.56,168.67,197.59,83.88,184.76,298.08,212.77,255.21,173.87,73.45,271.61,321.28,263.14,100.93,164.06,219.95,85.21,254.45,142.48,141.6,232.13,204.07,197.15,196.09,185.48,172.08,303.06,133.38,193.9,208.96
PHOENIX AMA,186.81,193.31,146.41,177.57,579.59,304.4,270.27,307,249.14,177.86,321.22,261.88,223.25,323.49,321.25,332.49,242.68,326.5,358.91,249.69,225.88,240.44,322.65,134.13,197.72,353.83,272.52,156.41,163.7,289.56,382.36,254.92,221.81,185.06,311.35,269.36,216.96,191.69,248.64,286.76,493.78,172.89,232.33,262.09,204.59,272.22,152.76,146.11,237.38,130.6,381.21,320.49,124.61,230,260.31,99.73,276.22,241.86,308.38,154.76,170.57,167.54,240.49,208.64,423.38,215.23,303.86,219.13,235.73,234.04,193.46,275.42,190.74,236.7,176.31,225.46,166.58,496.41,247.84,280.76,200,367.38,401.68,377.69,279.1,254.29,253.83,244.1,154.92,308.04,285.18,490.03,448.11,243.76,249.54,153.36,205.12,321.47,175.15,243.2,218.31,109.18,258.46,272.11,283.21,152.94,185.47,259.36,115.6,311.28,153.1,172.57,237.41,264.8,222.81,214.83,187.84,229.99,324.77,155.49,285.13,236.77
RANEGRAS PLAIN,116.94,121.11,95.24,122.7,370.76,196.97,171.1,234.19,232.5,140.61,183.56,161.55,159.26,223.35,225.16,202.05,192.58,245.43,239.84,219.57,201.3,167.74,243.51,68.93,167.88,242.45,195.36,73.52,90.06,174.9,271.33,185.92,132.14,116.34,232.23,160.33,156.52,148.94,238.66,182.26,356.73,100.13,170.18,192.37,140.15,182.05,83.6,105.77,135.11,78.48,261.24,198.66,74.02,118.9,171.88,38.95,171.97,159.91,175.91,99.19,100.67,116.51,150.62,105.28,259.66,152.12,178.82,111.48,167.05,141.94,122.55,131.5,120.41,132.7,94.79,207,118.48,289.22,175.16,178.64,120.54,235.99,268.98,210.35,151.65,159.83,132.86,206.17,70.25,139.28,121.47,272.88,239.73,140.26,125.41,52.38,174.77,213.27,119.74,95.97,125.32,46.82,157.24,230.15,225.47,91.73,105.83,163.82,68.5,191.41,108.36,119.44,205.85,144.28,161.01,140.36,134.07,116.44,202.12,96.4,126.39,133.59
MORENCI,420.26,381.42,354.61,343.79,933.03,585.35,534.61,519.43,390.33,322.11,530.68,440.46,442.51,609.93,557.98,650.98,336.05,495.52,587.24,468.22,435.01,409.93,557.82,328.04,472.41,548.19,502.6,458.45,469.26,466.75,685.11,518.26,482.91,454.03,545.01,499.32,446.31,446.56,413.19,616.4,750.8,386.07,434.85,469.42,331.71,431.59,361.27,384.26,495.44,256.36,471.45,517.94,283.4,442.04,407.41,259.98,592.71,640.6,522.12,387.33,510.67,441.71,497.34,416.95,609.53,401.29,589.47,416.15,426.58,355.18,460.05,574.06,396.23,447.58,462.41,407.95,430.43,721.04,483.96,499.43,413.7,599.6,756.84,632.25,587.36,645.35,513.98,542.97,301.02,574.97,583.21,677.85,526.4,581.38,368.08,465.14,507.59,500.14,446.81,460.92,456.17,406.81,428.88,508.7,504.05,532.73,552.6,539.7,344.4,542.44,417.78,329.84,500.93,410.81,573.47,463.1,321.23,385.77,505.51,270.04,439.01,540.23
HARQUAHALA INA,123.6,133.45,107.14,130.31,410.24,213.07,191.93,246.75,238.38,142.19,205.49,170.8,164.92,241,243.5,223.18,199.16,263.02,262.79,219.26,198.68,177.38,277.28,81.94,170.3,258.42,205.95,93.3,102.9,200.64,301.47,204.09,158.42,135.93,260.53,181.79,173,145.43,231.83,192.85,388.53,116.9,171.66,209.91,150.19,206.2,97.62,114.58,152.38,92.14,285.3,234.38,86.05,138.87,181.22,40.85,187.48,159.44,193.9,97.21,112.53,131.98,159.88,142.44,293.12,156.51,210.44,122.88,182.13,163.53,142.92,157.91,126.93,168.01,103.9,179.96,105.74,320.45,188.2,186.67,149.11,279.86,301.41,260.01,176.03,163.63,157.29,187.45,90.39,166.82,148.69,294.04,285.91,151.6,141.43,52.31,150.13,234.51,143.95,170.31,131.79,64.16,204.89,220.38,223.39,93.35,122.74,163.86,64.05,214.83,100.32,120.18,220.84,156.74,150.3,139.77,143.81,147.67,242.44,117.64,178.11,161.66
SAFFORD,311.13,229.1,223.95,259.18,664.64,369.94,394.35,385.19,300.31,204.52,446.12,361.06,336.08,518.08,396.48,446.77,274.29,341.07,497.34,326.06,334.71,285.31,406.1,176.21,294.45,448.44,352.02,304.42,300.31,411.75,500.41,346.89,310.16,267.73,361.54,338.76,328.88,285.93,311.67,443.27,534.23,283.77,320.2,365.51,266.57,328.28,229.56,244.04,358.59,195.36,363.45,362.39,207.61,345.71,313.27,170.15,405.24,444.37,370.65,280.82,372.12,318.69,350.78,310.86,479.03,328.7,409.03,338.7,296.01,272.82,342.75,406.22,287.89,331.9,306.59,301.43,348.8,534.27,348.4,342.86,336.71,438.79,581.07,453.13,440.92,449.88,388.64,409.59,225.98,442.32,443.83,531.74,474.46,415.04,287.49,320.67,381.9,350.57,274.31,386.57,305.57,230.16,234.59,344.33,328.25,303.33,346.78,372.23,235.19,422.23,252.43,247.27,283.96,345.77,402.81,362.75,239.26,336.19,394.28,173.03,356.69,403.3
LOWER GILA,90.28,103.84,80.7,89.11,302.61,169.23,143.92,172.62,160,83.34,154.13,148.9,129.62,201.25,188.4,159.88,169.09,216.82,200.41,145.96,178.3,144.42,199.23,65.5,128.75,224.92,170.72,56.34,90.43,137.32,242.3,188.03,106.02,92.32,172.53,123.19,114.46,123.25,195.28,181.91,302.05,95.09,133.25,165.52,120.48,197.44,89.17,96.25,143.55,53.86,203.6,153.19,69.45,104.72,157.87,36.68,136.46,165.4,169.99,99.72,119.44,103.88,141.02,114.42,214.97,134.7,189.63,97.19,146.49,121.93,121.12,137.19,118.67,113.16,93.15,208.73,137.01,240.36,170.99,122.58,115.04,186.13,266.17,263.89,137.53,117.21,126.17,121.83,67,138.45,127.33,246.25,224.21,148.92,79.83,44.64,138.05,156.28,99.5,102.9,116.56,43.91,141.26,176.96,159.2,91.82,100.73,161.87,45.17,151.86,123.37,136.76,180.19,146.15,153.29,118.17,101.19,168.94,173.19,103.53,153.17,119.26
BONITA CREEK,339.73,304.38,283.94,314.59,819.33,471.58,428.93,430.22,344.28,248.31,476.61,396.4,381.96,554.83,486.15,537.67,323.11,427.5,531.5,402.5,375.34,331.48,470.21,242.7,402.07,517.34,424.97,354.19,384.59,456.08,588.2,429.43,384,348.55,458.45,414.44,384.65,357.22,352.29,547.98,667.74,317.66,382.34,405.2,307.96,395.14,279.72,307.21,430.91,225.8,434.79,451.45,261.94,411.32,355.03,224.2,499.78,557.88,447.65,312.14,429.57,359.96,417.1,355.81,553.95,352.35,454.2,398.31,367.27,335.2,379.24,468.31,347.96,382.26,389.64,339.42,388.42,615.47,442.92,462.19,354.48,534.87,678.12,541.51,493.37,517.61,426.59,479.44,244.85,533.12,496.7,586.08,502.69,498.93,316.77,368.89,412.58,405.13,356.55,399.73,395.55,349.52,360.15,399.18,395.72,448.76,410.16,485.11,280.53,493.66,301.47,286.72,370.01,371.44,487.86,402.82,266.62,358.93,438.82,217.04,419.09,459.55
LOWER SAN PEDRO,356.37,280.26,259.17,287.53,796.17,464.54,469.54,486.33,365.18,284.32,487.01,425.81,400.3,579.93,462.01,505.6,323.8,396.51,553.76,393.84,382.19,359.32,506.2,222.11,328.62,505.04,408.55,343.87,330.81,510.05,589.41,416.98,348.51,314.2,446.68,389.99,382.19,354.52,353.66,480.84,601.63,301.8,368.76,427.98,315.55,388.49,247.11,295.82,383.79,233.29,456.69,439.15,223.33,437.97,362.17,208.08,449.47,441.59,410.49,272.67,384.7,313.63,408.85,403.11,560.09,415.56,468.41,368.06,346.74,323.32,409.61,425.79,360.56,426.91,334.82,345.19,410.24,684.18,390.97,394.91,418.61,523.66,756.44,532.26,469.28,491.07,419.02,407.21,273.45,532.5,433.06,677.85,636.63,484.6,371.56,357.26,392.91,515.31,330.83,444.55,402.69,199.56,304.03,352.39,350.91,343.69,321.16,398.12,234.83,456.05,302.36,264.36,289.75,346.83,488.58,398.83,290.53,384.99,444.77,164.14,430.92,466.81
PINAL AMA,189.44,166.81,144.25,177.51,508.89,277.88,253.83,288.72,248.93,184.69,298.91,264.35,236.03,344.72,288.56,283.1,224.28,291.1,378.12,230.3,229.64,219.67,302.25,129.59,204.59,349.54,225.03,149.48,195.91,289.74,367.39,261.66,213.9,191.77,284.1,260.52,218.97,204.19,228.07,283.42,407,177.16,197.84,258.01,198.73,293.53,160.73,157.55,209.28,148.39,296.47,279.36,139.95,241.26,272.72,122.95,260.64,266.79,277.19,182.79,221.65,179.94,234.87,234.9,335.93,255.62,310.78,237.15,217.7,212.94,254.91,282.35,189.06,206.75,175.64,204.87,207.16,427.17,239.88,213.78,214.39,321.62,472.75,432.49,258.18,257.11,214.54,240.89,144.17,350.84,225.53,420.06,399.95,259.38,192.06,169.6,200.62,279,162.66,231.84,230.81,114.39,181.74,225.99,241.24,203.64,202.15,229,120.66,262.11,154.32,191.99,224.79,234.19,239.19,202.84,170.58,268.9,284.63,108.98,288.34,275.76
DRIPPING SPRING WASH,382.97,333.93,247.57,265.57,861.72,517.71,502.45,574.8,375.84,258.99,510.26,467.28,423.69,617.51,525.52,575.7,347.62,465.5,607.93,452.86,377.59,434.21,558.96,219.41,349.08,482.39,437.29,354.88,346.08,515.38,602.42,453.4,396.35,293.93,527.96,480.22,371.48,389.74,363.58,530.83,750.17,353.74,378.4,511.58,359.27,414.96,286.16,311.86,382.46,244.91,538.43,491.06,256.5,476.31,419.69,219.45,468.88,486.62,456.09,290.71,391.55,360.47,462.18,384.42,676.92,410.74,532.86,416.88,375.42,341.92,403.65,484.59,397.66,437.09,396.19,371.52,363.52,854.89,442.56,508.18,406.77,569.75,745.42,554.94,460.15,530.51,416.48,421.62,269.64,580.5,496.05,770.39,724.59,500.29,358.96,363.12,387.03,493.03,321.36,411.68,402.4,175.09,343.84,376.66,455.44,324.6,340.09,474.43,302.1,580.53,308.38,359.57,312.08,327.91,467.27,413.95,276.97,330.94,494.62,185.01,440.5,445.6
GILA BEND,102.99,130.96,99.07,112.97,391.36,210.11,183.8,224.06,181.32,113.27,201.83,196.01,162.01,254.4,238.52,222.59,174.83,258.34,264.55,172.26,184.32,168.25,242.27,85.17,154,260.98,174.26,97.58,128.99,198.73,277.28,210.88,161.27,131.87,180.03,185.01,147.98,120.58,190.61,213.19,370,118.95,162.04,199.41,155.89,237.56,111.72,115.07,171.38,93.64,281.53,227.34,99.75,147.17,203.2,64.6,185.38,160.32,205.26,115.57,141.85,129.71,160.68,179.41,279.01,174.2,245.49,170.64,170.06,156.68,153.88,191.02,137.36,176.79,131.81,188.03,136.58,311.24,183.27,155.75,130.47,267.27,354.55,371.86,213.14,177.8,169.14,161.12,90.52,219.32,174.09,300.21,281.49,192.96,118.5,104.76,142.89,292.57,145.74,166.54,147.25,77.84,213.81,179.32,180.65,130.87,126.66,175.82,66.99,162.61,117.9,132.52,202.11,178.62,171.19,157.94,124.27,206.54,215.17,111.66,228.89,195.48
DONNELLY WASH,342.16,300.23,231.42,280.64,866.85,470.58,443.95,501.69,360.09,261.96,492.67,407.23,388.87,542.77,457.79,524.63,315.19,436.9,545.73,416.82,356.06,378.76,472.35,220.54,316.94,490.9,403.26,318.83,300.59,493.17,590.79,428.99,360.13,279.63,464.17,445.09,380.3,340.8,334.92,465.35,675.37,302.73,391.81,443.01,339.64,410.24,250.49,282.69,325.08,229.91,465.35,465.17,229.71,404.59,373.53,207.86,455.59,434.6,401.9,261.58,337.38,298.12,455.05,355.11,570.83,346.65,470.71,366.25,358.75,301.52,383.12,431.66,352.81,379.24,339.31,311.68,323.58,756.07,393.84,453.74,389.92,538.55,690.41,520.67,429.84,488.37,370.1,377.76,230.44,557.95,446.24,724.28,667.8,448.67,353.11,352.88,334.18,504.58,303.63,362.12,393.6,157.67,295.93,343.42,362.45,283.11,300.16,437.43,213.32,487.58,269.81,291.15,291.81,385.73,406.21,345.26,263.49,310.92,424.62,146.98,437.73,433.34
DUNCAN VALLEY,290.87,227.96,257.4,261.62,622.4,361.84,354.44,320.09,248.57,180.49,389.36,333.32,321.06,481.57,347.44,397,211.32,317.94,451.21,312.46,294.11,200.2,359.78,152.15,299.4,403.94,304.87,285.69,279.04,335.09,440.99,320.89,292.02,259.51,321.89,296.68,322.02,264.74,274.41,395.54,486.25,266.85,294.24,320.97,224.94,269.59,185.03,232.21,314.35,177.16,269.01,284.08,189.28,274.86,242.93,129.48,374.5,456.95,303.7,256.43,355.93,309.99,308.75,273.15,383.28,280.67,353.91,321.6,279.35,242.22,283.2,386.59,254.61,295.87,302.8,268.53,322.71,424.49,290.51,278.29,295.55,372.89,529.94,398.96,459.13,425.77,352.41,406.36,190.84,394.73,439.41,458.5,377.61,361.57,219.29,337.3,393.91,322.41,234.63,329.88,271.25,303.34,207.15,382.89,331.93,358.33,363.39,329.99,222.19,404.1,225.12,197.03,282.31,350.34,405.74,339.6,246.46,318.54,326.93,173.91,314.9,399.94
ARAVAIPA CANYON,382.92,304.71,253.81,255.26,791.72,457.06,464.25,495.82,371.82,282.46,504.41,429.99,409.29,595.26,490.2,534.1,337.06,425.96,580.56,397.55,373.33,370.6,536.58,226.54,338.09,511.02,428.66,334.92,335.84,517.64,597.88,433.18,336.7,306.46,476.65,414.27,368.9,359.45,372.25,521.03,682.17,335.11,382.52,447.6,336.95,406.7,255.67,293.93,409.12,230.13,471.81,446.71,236.49,447.1,353.02,220.12,499.35,448.73,410.36,276.44,458.13,332.54,426.68,415.4,632.92,461.21,447.34,397.52,355.96,339.53,432.41,500.35,380.36,463.86,377.87,351.65,428.45,744.45,419.06,439.72,436.1,543.33,763.42,549.68,485.21,521.68,441.88,425.73,276.3,582.06,464.6,731.35,676.35,486.3,364.7,372.68,394.99,516.97,332.82,452.55,394.26,223.47,290.1,371.38,397.59,379.35,356.13,425.09,281.75,489.8,293.96,306.65,307.9,318.71,495.46,427.48,322.31,377.63,460.96,184.78,418.41,483.72
YUMA,85.06,55.5,36.63,43.49,288.16,136,81.11,117.23,160.38,59.87,85.94,95.15,73.72,115.79,117.98,94.94,99,105.61,103.16,116.98,147.6,91.85,105.12,24.02,99.32,221.05,124.75,15.78,65.52,66.3,150.25,112.85,77.86,52.05,111.49,58.04,55.56,80.8,156.11,102.61,203.01,56.48,66.46,110.28,96.16,76.31,36.9,61.81,86.74,35.3,94.35,82.34,14.12,35.53,95.21,7.14,97.06,99.02,80.25,52.23,67.59,48.29,99.16,36.92,140.06,71.87,129.74,44.64,85.88,72.06,67.87,89.21,67.19,47.82,46.44,142.32,117.05,135.92,134.49,74.52,63.71,123.04,152.2,166.37,77.54,67.06,81.82,59.67,69.54,40.58,86.31,155.67,140.49,90.28,44.22,14.74,165.24,70.78,59.34,40.31,92.15,5.33,68.58,97.13,79.13,40.51,44.4,108.68,20.76,123.48,68,87.28,129.02,59.9,62.87,60.67,69.37,97.1,84.8,108.3,89.65,51
TUCSON AMA,340.98,251.98,259.63,284.6,700.4,422.16,447.43,424.81,378.42,296.01,408.99,380.99,362.3,526.54,357.96,384,322.74,334.77,528.2,328.62,356.5,325.69,433.48,200.96,296.81,482.73,355.28,259.18,333.42,427.23,578.47,364.63,298.11,297.55,451.01,337.6,340.16,320.62,315.9,439.54,455.33,262.21,290.57,398.16,290.41,393.91,227.05,266.19,324.54,237.77,391.37,393.08,194.98,384.19,357.7,185.89,371.02,410.24,358.03,298.27,362.13,292.67,345.76,405.81,434.1,416.67,420.15,322.77,320.17,306.48,433.86,363.74,295.46,336.52,282.55,310.7,374.24,604.8,339.73,311.29,379.12,446.38,698.22,582.15,395.74,392.83,366.58,381.65,258.66,510.6,363.84,519.43,542.25,417.32,294.5,310.68,343.4,445.6,298,427.66,351.13,217.35,321.62,300.41,305.8,331.47,333.51,354.46,216.49,410.21,288.06,282.91,299.07,345.68,438.05,363.95,270.04,413.75,430.67,163.87,436.4,370.08
WILLCOX,340.49,240.34,257.47,264.72,719.34,406.19,498.28,388.87,353.28,283.2,514.45,390.23,398.38,586.59,400.73,459.32,322.51,348.14,541.8,338.89,399.78,327.07,462.26,228.3,340.59,543.26,410.55,361.62,356.51,501.92,585.51,415.77,338.92,347.47,398.78,348.18,385.77,355.17,403.25,492.73,542.51,314.49,378.13,395.15,299.36,352.32,257.59,305.16,435.47,254.26,378.75,398.48,224.56,375.92,348.81,205.56,428.45,459.86,421.11,305.01,426.9,337.53,388.72,398.54,493.68,431.79,467.98,339.9,314.43,285.99,435.18,418.84,301.45,400.51,334.6,352.69,469.33,574.67,347.57,310.91,393.77,470.47,673.53,504.51,509.61,528.57,478.87,480.67,291.59,489.1,490.72,553.3,528.21,439.71,363.8,354.56,462.36,401.56,356.35,484.93,372.17,271.06,216.47,393.02,340.8,345.3,398.36,363.68,293.34,443.24,324.29,285.86,350.63,429.63,439.75,440.66,283.95,437.31,474.52,221.93,391.36,492.78
